"id","productname","sales_count","base_stock","turnover_ratio","partition_date"
58,통흑후추 그라인더 65g,2,30,0.0666667,"2025-04-01"
59,[냉장][강화肉식] 대용량 양념 소불고기 1.5kg,1,10,0.1,"2025-04-01"
60,순수천혜염 천일염 가는소금 500g,1,15,0.0666667,"2025-04-01"
61,다진마늘 450g (PET),1,41,0.0243902,"2025-04-01"
62,백설 올리고당 700g,2,15,0.133333,"2025-04-01"
63,오이 피클 절임 300g,1,10,0.1,"2025-04-01"
64,양조식초 900ml,1,10,0.1,"2025-04-01"
65,세척당근 600g (3~5입),1,10,0.1,"2025-04-01"
66,[냉동][국산] 데친 돌문어 (500g),1,10,0.1,"2025-04-01"
67,정성깃든된장 1kg,2,10,0.2,"2025-04-01"
68,소금을 넣지 않은 쿠킹버터 450g,1,18,0.0555556,"2025-04-01"
69,인큐 애호박 200g (1입),1,17,0.0588235,"2025-04-01"
70,백설 참치액 진 더 풍부한 맛 500g,2,42,0.047619,"2025-04-01"
71,[가정의 달][냉장]한우선물세트 구이3호 1등급 1.2kg (등심2팩/채끝/안심),1,10,0.1,"2025-04-01"
72,행복한콩 고소한 순두부 350g*2,2,10,0.2,"2025-04-01"
73,중력밀가루 1kg,1,10,0.1,"2025-04-01"
74,[무항생제해발500]냉장등갈비구이용500g,1,10,0.1,"2025-04-01"
75,해찬들 초고추장 500g,1,10,0.1,"2025-04-01"
76,백설 맛술 800ml(생강),4,48,0.0833333,"2025-04-01"
77,청양고추 (150g),2,27,0.0740741,"2025-04-01"
78,국산콩 콩나물 300g,1,10,0.1,"2025-04-01"
79,진간장 금F3 860ml,1,13,0.0769231,"2025-04-01"
80,고춧가루 1kg,1,21,0.047619,"2025-04-01"
81,탐스제로 파인애플 1.5L,1,10,0.1,"2025-04-01"
82,미나리 (200g),1,10,0.1,"2025-04-01"
83,순후추 50g,1,36,0.0277778,"2025-04-01"
84,고소한참기름320ml(병),2,18,0.111111,"2025-04-01"
85,[냉동][국산] 손질 가자미 (500g) (소금간),1,14,0.0714286,"2025-04-01"
86,Im perfect 대파 900g,4,63,0.0634921,"2025-04-01"
87,미니 파프리카 (200g/봉),1,10,0.1,"2025-04-01"
88,쑥갓 (100g),1,10,0.1,"2025-04-01"
89,아침에주스 오렌지 1.8L,1,10,0.1,"2025-04-01"
90,백설 100%통들깨들기름 320ml,1,10,0.1,"2025-04-01"
91,[냉장][항공]노르웨이슈페리어생연어필렛300g(전체부위)+간장&와사비소스&해동지증정,1,10,0.1,"2025-04-01"
92,사조 샐러드(살사) 닭가슴살 135g*4입,1,10,0.1,"2025-04-01"
93,골드망고 특선 선물세트 2호10과/3.2kg내외 개당320g,1,10,0.1,"2025-04-01"
94,[냉동][미국] 스페인식 꿀대구 스테이크 (420g),1,10,0.1,"2025-04-01"
95,전지분유 1kg,1,10,0.1,"2025-04-01"
96,신상 팔도 비빔면 제로슈거 120g*4개,1,10,0.1,"2025-04-01"
97,자연산 꽁치300g &고등어 400g,1,10,0.1,"2025-04-01"
98,푸드맛남 순수 저온압착 참기름350ml+들기름350ml 총2병[35127587],1,27,0.037037,"2025-04-01"
99,다진마늘 240g,2,46,0.0434783,"2025-04-01"
100,생강가루 55g,1,23,0.0434783,"2025-04-01"
101,동원참치액 진 500g,1,44,0.0227273,"2025-04-01"
102,씻어나온 국산 고춧가루 200g,2,17,0.117647,"2025-04-01"
103,유기농 엑스트라버진 올리브 오일 750ml,1,10,0.1,"2025-04-01"
104,건과일 아몬드 행사,1,10,0.1,"2025-04-01"
105,이란산 순수 석류 농축액 원액 주스 100% 무설탕 해썹 인증 660gx5병,2,23,0.0869565,"2025-04-01"
106,더달콤 스테비아 대추방울토마토 550g/팩,1,10,0.1,"2025-04-01"
107,CJ 더건강한닭가슴살순살케이준 100g,1,10,0.1,"2025-04-01"
108,씻거나 불릴필요 없는 맛있는 엄마 밥상 4kg,1,10,0.1,"2025-04-01"
109,비비고 한식간장 김자반 50g*2,1,10,0.1,"2025-04-01"
110,식용유1.8L,1,30,0.0333333,"2025-04-01"
111,촌두부 550g,1,10,0.1,"2025-04-01"
112,허브맛솔트마늘양파 52g,2,33,0.0606061,"2025-04-01"
113,[SSG 정담] Premium 사과배 샤인 애플망고 선물세트 (사과3개 배3개 샤인2송이 애플망고2개),1,10,0.1,"2025-04-01"
114,팽팽이 가지 220g (2입),1,10,0.1,"2025-04-01"
115,지도표 성경김 재래 전장김 30gx20봉,1,10,0.1,"2025-04-01"
116,어린열무 (500g),1,10,0.1,"2025-04-01"
117,무순 (80g),1,10,0.1,"2025-04-01"
118,한가득 표고버섯 (팩),1,10,0.1,"2025-04-01"
119,친환경 느타리버섯 200g,1,10,0.1,"2025-04-01"
120,한돈케이크 1400g 돼지고기선물세트_삼겹살/목살/항정살/가브리살,2,60,0.0333333,"2025-04-01"
121,이란산 순수 석류 농축액 원액 주스 100% 무설탕 해썹 인증 660gx3병,1,18,0.0555556,"2025-04-01"
122,옛날 자른 당면 500g,1,10,0.1,"2025-04-01"
123,순후추 100g,2,60,0.0333333,"2025-04-01"
124,진간장금F3 500ml,1,13,0.0769231,"2025-04-01"
125,갈아만든배 340ml,1,10,0.1,"2025-04-01"
126,국산 건표고버섯(슬라이스) 500g,1,10,0.1,"2025-04-01"
127,헬스꼬기 지방제한 호주산 소고기 다짐육 200gX5팩,2,10,0.2,"2025-04-01"
128,냉장 닭 윗날개(봉) (500g),1,10,0.1,"2025-04-01"
129,무농약 찰기많은 혼합8곡 2kg,1,10,0.1,"2025-04-01"
130,통흑후추65g,1,26,0.0384615,"2025-04-01"
131,[물맛남] 국내산 신선한 생굴 3kg,1,10,0.1,"2025-04-01"
132,[냉동][인도] 킹 칵테일 새우살 (26-30) (450g),1,10,0.1,"2025-04-01"
133,만번치댄 사누끼 우동면 230g*5,1,10,0.1,"2025-04-01"
134,제주산 다진마늘 260g,3,55,0.0545455,"2025-04-01"
135,자연촌 990 맛있는 콩나물 500g,2,10,0.2,"2025-04-01"
136,착즙 파인애플포도주스 125ml*4입,1,10,0.1,"2025-04-01"
137,썬큐 베이크드 빈스 420g,1,10,0.1,"2025-04-01"
138,유기농 발아 볶음참깨 200g,1,10,0.1,"2025-04-01"
139,불닭소스 200g,1,10,0.1,"2025-04-01"
140,밥새우 500g 새우반찬 아이들반찬,1,10,0.1,"2025-04-01"
141,[냉동/냉장]영광법성포 굴비와 고추장굴비 2호(굴비 10미(1.0kg)+새싹보리 고추장굴비(100gx3)),1,10,0.1,"2025-04-01"
142,[가정의 달]건어물 특선선물세트 6호(조림멸치대멸치새우지주식재래김쌈다시마 外),1,10,0.1,"2025-04-01"
143,양반 마늘 김부각 (50g),1,10,0.1,"2025-04-01"
144,무농약 혼합15곡 3kgX2ea,1,10,0.1,"2025-04-01"
145,산딸기 (250g),1,10,0.1,"2025-04-01"
146,한끼오트밀 450g (30g*15봉),1,10,0.1,"2025-04-01"
147,[보자기무료포장]올바른감 반건시 곶감 선물세트(중과26입 1.5kg내외),1,10,0.1,"2025-04-01"
148,튀김가루 1.2kg,1,10,0.1,"2025-04-01"
149,닭근위 (400g),1,10,0.1,"2025-04-01"
150,에이클래스 체다 슬라이스치즈 210g (30gX7),1,10,0.1,"2025-04-01"
151,초코우유 200ml*3입,1,10,0.1,"2025-04-01"
152,숙성발효시켜 깊고 부드러운 건강한 발효버터 200g,1,10,0.1,"2025-04-01"
153,파슬리 20g (파우치),1,10,0.1,"2025-04-01"
154,"9개월미만 양고기 양부채살 500g",1,10,0.1,"2025-04-01"
155,[냉장] 제주흑돼지 고추장양념 불고기 600g,1,10,0.1,"2025-04-01"
156,무아스파탐 느린마을막걸리 750ml x 5입(6%),1,10,0.1,"2025-04-01"
157,[하림] 동물복지 IFF 한입쏙 닭가슴살 청양고추 (500g),1,27,0.037037,"2025-04-01"
158,국내산 우렁이살 1kg내외,1,10,0.1,"2025-04-01"
159,자연촌 990 맛있는두부 420g,1,10,0.1,"2025-04-01"
160,국산 고운 고춧가루 110g,1,18,0.0555556,"2025-04-01"
161,포도씨유 1L,1,10,0.1,"2025-04-01"
162,CJ 해찬들 사계절쌈장 170g,1,10,0.1,"2025-04-01"
163,백설 순두부 찌개양념 130g,1,12,0.0833333,"2025-04-01"
164,[지도표 성경김] 재래 식탁김 (12봉) (4g*12),1,10,0.1,"2025-04-01"
165,샐러리 1통 (600g),1,10,0.1,"2025-04-01"
166,[백설] 하얀설탕 (1kg),1,16,0.0625,"2025-04-01"
167,미원 맛소금 95g,1,18,0.0555556,"2025-04-01"
168,[기꼬망]혼쯔유 500ml,1,10,0.1,"2025-04-01"
169,두번달여더진한 진간장 1.7L,1,24,0.0416667,"2025-04-01"
170,구운 김밥용 김 (10매/20g),1,10,0.1,"2025-04-01"
171,친환경 양파 800g,1,35,0.0285714,"2025-04-01"
172,보꼬네 모짜렐라 슈레드치즈 780g(개봉 후 냉동보관),1,10,0.1,"2025-04-01"
173,브로콜리 (2입/봉),1,10,0.1,"2025-04-01"
174,백설 하선정 서해안 까나리 액젓 800g,1,10,0.1,"2025-04-01"
175,[강릉상회] 강원도 건조 산골 황태채 (200g),1,10,0.1,"2025-04-01"
176,옛날 자른 다시마 (20g),1,10,0.1,"2025-04-01"
177,유기농 물만부어 컬러쌀-베러라이스5믹스 혼합곡 2kg 5kg,1,10,0.1,"2025-04-01"
178,한눈에 반한 쌀 1.2kg,1,10,0.1,"2025-04-01"
179,오뚜기 초간편 감자전 믹스 1200g 1개,1,10,0.1,"2025-04-02"
180,수타 직화 짜장면 1320g(4인),1,10,0.1,"2025-04-02"
181,깐쪽파 (150g),1,10,0.1,"2025-04-02"
182,양파 (1.8kg),5,41,0.121951,"2025-04-02"
183,한돈케이크 1400g 돼지고기선물세트_삼겹살/목살/항정살/가브리살,4,58,0.0689655,"2025-04-02"
184,파머스픽 흙대파 (봉),2,63,0.031746,"2025-04-02"
185,프레지덩 에멘탈 슈레드 치즈 200g(개봉 후 냉동보관),1,10,0.1,"2025-04-02"
186,[냉장][노르웨이] 자반 고등어 (특 1손),1,10,0.1,"2025-04-02"
187,양배추 (통),2,10,0.2,"2025-04-02"
188,[활][국산] ASC인증 활 전복 (특) (7미 총 700g 내외) (용기포장),1,10,0.1,"2025-04-02"
189,청경채 500g GAP인증,2,10,0.2,"2025-04-02"
190,국내산 삶은 죽순 1kg(진공포장),2,10,0.2,"2025-04-02"
191,[가격 역주행]시골집 참기름 300ml,2,26,0.0769231,"2025-04-02"
192,제주산 다진마늘 260g,7,52,0.134615,"2025-04-02"
193,담금주 강주 34도 1.8L 소주 증류주 내국양조 도수 높은 대용량 담금용 술,1,10,0.1,"2025-04-02"
194,친환경 양파 800g,2,34,0.0588235,"2025-04-02"
195,저당 굴소스 310g,1,10,0.1,"2025-04-02"
196,[통영직송] 아나고회 200g,1,10,0.1,"2025-04-02"
197,백설 하프칼로리 발사믹드레싱,1,10,0.1,"2025-04-02"
198,에이클래스 체다 슬라이스치즈 210g (30gX7),1,9,0.111111,"2025-04-02"
199,버터밀크팬케이크믹스180g,1,9,0.111111,"2025-04-02"
200,몬도 스파게티면 스파게티 파스타면 500g 8개,2,16,0.125,"2025-04-02"
201,바나나맛 우유(240ml4개) 960ml,1,10,0.1,"2025-04-02"
202,친환경 양파 1kg,5,33,0.151515,"2025-04-02"
203,[냉동][인도] 칵테일 새우살 (31-40)(450g/팩),1,10,0.1,"2025-04-02"
204,[김동열님 생산] 프리미엄 은풍준시 곶감 선물세트 30과 (1.3kg내외/개당 40-49g),1,10,0.1,"2025-04-02"
205,불닭소스 200g,1,9,0.111111,"2025-04-02"
206,신상 롯데 이너프 큐브케이크 바나나&피넛 64g,1,10,0.1,"2025-04-02"
207,[닭구이닭] 닭다리살 구이 (600g),2,10,0.2,"2025-04-02"
208,통흑후추65g,3,25,0.12,"2025-04-02"
209,피넛버터 크리미 340g,1,10,0.1,"2025-04-02"
210,가공우유~50%,1,10,0.1,"2025-04-02"
211,생강가루 55g,1,22,0.0454545,"2025-04-02"
212,안동소주일품 특1호 21도 400ml 2병 술잔 안동소주,1,10,0.1,"2025-04-02"
213,소소한하루 양파,5,27,0.185185,"2025-04-02"
214,파머스픽 파프리카 (3입),1,10,0.1,"2025-04-02"
215,휘핑크림 1L,1,10,0.1,"2025-04-02"
216,현미유1L,1,10,0.1,"2025-04-02"
217,백설 요리올리고당 1.2kg,1,15,0.0666667,"2025-04-02"
218,백설 100%통참깨참기름 320ml,4,23,0.173913,"2025-04-02"
219,[냉동][아르헨티나] 붉은 새우살 (21-40) (450g),1,10,0.1,"2025-04-02"
220,두번달여더진한 진간장 1.7L,2,23,0.0869565,"2025-04-02"
221,흙대파 750g,13,64,0.203125,"2025-04-02"
222,백설 멸치디포리가득 육수에는 1분링 80g,1,10,0.1,"2025-04-02"
223,[다향] 오리 고추장 주물럭용 (500g),2,10,0.2,"2025-04-02"
224,튜브형 다진마늘 80g,10,60,0.166667,"2025-04-02"
225,오천년의 신비 국산 꽃소금 (천일염) 400g,2,17,0.117647,"2025-04-02"
226,친환경 애호박 1개 (150g내외),3,15,0.2,"2025-04-02"
227,하루채소 대파 (200g),5,54,0.0925926,"2025-04-02"
228,[냉동/미국산] 우삼겹 바로구이 (1kg),1,10,0.1,"2025-04-02"
229,맛술 830ml(생강&매실),3,41,0.0731707,"2025-04-02"
230,순후추 50g,4,35,0.114286,"2025-04-02"
231,[냉동][국산] 손질 가자미 (500g) (소금간),1,13,0.0769231,"2025-04-02"
232,[냉동][아르헨티나] 노브랜드 냉동 오징어링 (700g),1,10,0.1,"2025-04-02"
233,향이 진한 다진마늘 (200g),3,53,0.0566038,"2025-04-02"
234,[당도선별] 유명산지 청송 사과 (1.5kg),1,10,0.1,"2025-04-02"
235,다진마늘 240g,5,44,0.113636,"2025-04-02"
236,서울우유 체다 270g*3입,1,10,0.1,"2025-04-02"
237,리고 100% 땅콩버터 청키 453g,1,10,0.1,"2025-04-02"
238,순수천혜염 천일염 가는소금 500g,3,14,0.214286,"2025-04-02"
239,[백설] 중력 밀가루(다목적용) 1kg,1,10,0.1,"2025-04-02"
240,국내산 등심 카레용 (100g) (팩),1,10,0.1,"2025-04-02"
241,[백설] 치킨 튀김가루 1kg,1,9,0.111111,"2025-04-02"
242,다진마늘 450g (PET),2,40,0.05,"2025-04-02"
243,설탕대신 알룰로스 위드 몽크프루트 830g,4,21,0.190476,"2025-04-02"
244,하루채소 청양고추 (60g),3,27,0.111111,"2025-04-02"
245,푸드맛남 순수 저온압착 참기름350ml+들기름350ml 총2병[35127587],2,26,0.0769231,"2025-04-02"
246,인큐 애호박 200g (1입),3,16,0.1875,"2025-04-02"
247,백설 참치액 진 더 풍부한 맛 500g,4,40,0.1,"2025-04-02"
248,소면460g,1,10,0.1,"2025-04-02"
249,초코우유 200ml*3입,1,9,0.111111,"2025-04-02"
250,아욱 150g,1,10,0.1,"2025-04-02"
251,백설 고깃집 된장찌개양념 130g,2,10,0.2,"2025-04-02"
252,팽팽이 가지 220g (2입),1,9,0.111111,"2025-04-02"
253,동원참치액 진 500g,2,43,0.0465116,"2025-04-02"
254,[선물포장]포스티보나 해바라기유 500ml 3병(오일선물세트)[34533634],1,10,0.1,"2025-04-02"
255,[SSG정담x금비][냉동]영광법성포 굴비세트 5호(굴비:10미 1.3kg이상/22~23cm내외),1,10,0.1,"2025-04-02"
256,순창 재래식생된장 1kg,1,10,0.1,"2025-04-02"
257,[백설] 통감자를 갈아넣은 바삭 부침가루 1kg,1,10,0.1,"2025-04-02"
258,허브맛솔트마늘양파 52g,3,31,0.0967742,"2025-04-02"
259,[생산자직송] 진도 조득환님의 구기자가루 선물세트 100gx4,1,10,0.1,"2025-04-02"
260,국산 건표고버섯(슬라이스) 500g,1,9,0.111111,"2025-04-02"
261,씻어나온 국산 고춧가루 200g,2,15,0.133333,"2025-04-02"
262,슬라이스치즈 900g,1,10,0.1,"2025-04-02"
263,식용유900ml,1,25,0.04,"2025-04-02"
264,난이생생 계란 15개입 (왕란 1020g),1,17,0.0588235,"2025-04-02"
265,딸기잼 800g,1,9,0.111111,"2025-04-02"
266,[백설] 제일제면소 소면 900g,1,10,0.1,"2025-04-02"
267,[냉동/호주산] 양프렌치랙 구이 600g(쯔란소스 증정),1,10,0.1,"2025-04-02"
268,봉골레 파스타소스 360g,1,10,0.1,"2025-04-02"
269,[냉동][중국] 자숙 바지락살 (200g),1,10,0.1,"2025-04-02"
270,SSG 국산 건고추 (40g),1,10,0.1,"2025-04-02"
271,올리브유 1L,2,15,0.133333,"2025-04-02"
272,솔향 가득 국내산 백잣 200g,1,10,0.1,"2025-04-02"
273,쵱선생 통영 자연산 바다장어 아나고 회 세꼬시 300g,1,10,0.1,"2025-04-02"
274,밥소믈리에 레시피 발아현미 영양 블랜딩미1kg,1,10,0.1,"2025-04-02"
275,양조식초 900ml,2,9,0.222222,"2025-04-02"
276,[냉장][강화肉식] 대용량 양념 소불고기 1.5kg,1,9,0.111111,"2025-04-02"
277,성주 벌꿀참외 가정용 못난이 2kg,1,10,0.1,"2025-04-02"
278,[백설] 하얀설탕 (1kg),3,15,0.2,"2025-04-02"
279,무항생제 닭다리살 (정육) (400g),1,10,0.1,"2025-04-02"
280,[냉동][국산] 손질 삼치살 (600g) (소금간),1,13,0.0769231,"2025-04-02"
281,[냉동][노르웨이] 프리미어 고등어살 (900g 6-10편),1,10,0.1,"2025-04-02"
282,뿌리가 살아있는 버터헤드,1,10,0.1,"2025-04-02"
283,통흑후추 그라인더 65g,1,28,0.0357143,"2025-04-02"
284,감자맛전분99.9 350g,1,10,0.1,"2025-04-02"
285,한끼에 하나씩 양배추 (통),1,11,0.0909091,"2025-04-02"
286,박재서 안동소주 명인 45도 800ml 호리병 선물세트(케이스쇼핑백 포함),1,10,0.1,"2025-04-02"
287,행복한콩 깨끗한콩나물 380g,1,10,0.1,"2025-04-02"
288,[백설] 찹쌀 호떡믹스 400g,1,10,0.1,"2025-04-02"
289,[냉장] 제주흑돼지 고추장양념 불고기 600g,2,9,0.222222,"2025-04-02"
290,냉장 닭다리살(정육) (500g),1,10,0.1,"2025-04-02"
291,깻잎 (4속),1,10,0.1,"2025-04-02"
292,흙당근 (1kg),1,18,0.0555556,"2025-04-02"
293,이란산 순수 석류 농축액 원액 주스 100% 무설탕 해썹 인증 660gx1병,2,24,0.0833333,"2025-04-02"
294,순창 우리쌀미소된장 450g,1,10,0.1,"2025-04-02"
295,국내산 건조 무청 시래기 나물 200g,2,10,0.2,"2025-04-02"
296,청양고추 (150g),4,25,0.16,"2025-04-02"
297,국내산 우렁이살 1kg내외,3,9,0.333333,"2025-04-02"
298,두부로 만든 콩담백면 150g,2,10,0.2,"2025-04-02"
299,팽이버섯 (3입),1,10,0.1,"2025-04-02"
300,국산 고운 고춧가루 110g,2,17,0.117647,"2025-04-02"
301,브로슈낭 프로방스 포도씨유 1L,1,10,0.1,"2025-04-02"
302,국산 찰보리 1.6kg (800gx2봉),1,10,0.1,"2025-04-02"
303,순창 재래식생된장 500g,1,10,0.1,"2025-04-02"
304,쉐프의 치킨스톡 340g,1,10,0.1,"2025-04-02"
305,순후추 100g,3,58,0.0517241,"2025-04-02"
306,[냉동]국내산 무뼈닭발 1kg,1,10,0.1,"2025-04-02"
307,수제망 햇 양파 (1.8kg내외/망),2,36,0.0555556,"2025-04-02"
308,[지함]숙성한우 1++투뿔 프리미엄 구이 선물세트(등심+안심+채끝+특수부위/팩당400g/총1.6kg)냉장,1,10,0.1,"2025-04-02"
309,이금기 팬더굴소스 255g,2,10,0.2,"2025-04-02"
310,진간장금F3 500ml,2,12,0.166667,"2025-04-02"
311,필라델피아 크림치즈 190g,1,10,0.1,"2025-04-02"
312,생강&매실 맛술830ml,2,33,0.0606061,"2025-04-02"
313,청양고추(봉),3,26,0.115385,"2025-04-02"
314,국내산 삼겹살 구이용 (100g),1,10,0.1,"2025-04-02"
315,[생물][국산] 서해안 참소라 (대)(1kg/팩),1,10,0.1,"2025-04-02"
316,국산고춧가루 190g,2,20,0.1,"2025-04-02"
317,특등급 국산콩 투컵두부 600g,1,10,0.1,"2025-04-02"
318,Im perfect 대파 900g,3,59,0.0508475,"2025-04-02"
319,샘표 새미네부엌 보쌈김치양념 90g,1,10,0.1,"2025-04-02"
320,국내산 등심 잡채용 (100g) (팩),1,10,0.1,"2025-04-02"
321,양상추 (1입),1,10,0.1,"2025-04-02"
322,유기농 발아 깨소금 180g,3,22,0.136364,"2025-04-02"
323,[나주농장] 프리미엄 과일 선물세트 1호 7kg(사과+배),2,10,0.2,"2025-04-02"
324,튀김가루 1kg,1,10,0.1,"2025-04-02"
325,헬스꼬기 지방제한 호주산 소고기 다짐육 150gX5팩,1,14,0.0714286,"2025-04-02"
326,[정호영]신선담은 간장게장 700g x 2팩 +양념게장 300g x 1팩,1,10,0.1,"2025-04-02"
327,백설 흑설탕 1kg,3,22,0.136364,"2025-04-02"
328,[냉장][설성목장] 한돈 고추장 불고기 300g,1,10,0.1,"2025-04-02"
329,"120시간숙성율무쌀500g",1,10,0.1,"2025-04-02"
330,지구식단 얇은두부면 100g,1,10,0.1,"2025-04-02"
331,풍성한 팽이버섯 (330g),2,10,0.2,"2025-04-02"
332,친정엄마 고춧가루 200g,1,21,0.047619,"2025-04-02"
333,포도씨유 1L,2,9,0.222222,"2025-04-02"
334,미에로 화이바 (100ml ×10병),1,10,0.1,"2025-04-02"
335,[화이트와인] 에코 소비뇽 블랑,1,10,0.1,"2025-04-02"
336,[백설] 갈색설탕 (중백당) 1kg,1,20,0.05,"2025-04-02"
337,[냉장] 제주흑돼지 간장양념 불고기 600g,1,10,0.1,"2025-04-02"
338,황금 비율 바지락 멸치 육수한알 (25개),1,10,0.1,"2025-04-02"
339,쉽게 뿌려먹는 김가루 150g,1,10,0.1,"2025-04-02"
340,소금을 넣지 않은 쿠킹버터 450g,2,17,0.117647,"2025-04-02"
341,유명산지 감자 (1kg),1,10,0.1,"2025-04-02"
342,촌두부 550g,1,9,0.111111,"2025-04-02"
343,[냉동][국산] 반건조 참돔 (1미 330g),2,10,0.2,"2025-04-02"
344,"1등급 한우 한판 명품세트 800g(꽃등심/채끝/차돌박이/모듬구이)",1,10,0.1,"2025-04-02"
345,올리브오일 500ml(피쿠알),1,10,0.1,"2025-04-02"
346,미원 맛소금 95g,1,17,0.0588235,"2025-04-02"
347,[백설] 파스타 500g,1,10,0.1,"2025-04-02"
348,이란산 순수 석류 농축액 원액 주스 100% 무설탕 해썹 인증 660gx5병,1,21,0.047619,"2025-04-02"
349,가시오이 (4입/봉),1,10,0.1,"2025-04-02"
350,당근 1.5L,1,10,0.1,"2025-04-02"
351,CJ 스팸 닭가슴살 200G*3,1,10,0.1,"2025-04-02"
352,칠갑농산 감자수제비 396g,1,10,0.1,"2025-04-02"
353,[하림] 동물복지 IFF 한입쏙 닭가슴살 청양고추 (500g),2,26,0.0769231,"2025-04-02"
354,자연촌 990 맛있는두부 420g,1,9,0.111111,"2025-04-02"
355,[에콰도르산] 달콤 바나나 (1kg내외),1,10,0.1,"2025-04-02"
356,(박스특가/10개입) 큐원 찰호떡믹스 한박스 (프라이팬용),1,10,0.1,"2025-04-02"
357,자른미역 100g,1,10,0.1,"2025-04-02"
358,[오늘의채소] 국내산 깐 쪽파 3kg내외(3단),1,10,0.1,"2025-04-02"
359,참나물 (200g),1,10,0.1,"2025-04-02"
